Allocation_Subcategory,City,College,Gift_Allocation,Amount,Year,Major,Prospect ID,State
FCE,Denver,ART,Endowment,2307,2010,Humanities-Prelaw,1103,CO
FCE,Denver,ENG,Endowment,5397,2010,Materials Science and Engineering,1086,CO
FCE,Denver,NAT,Endowment,9180,2010,Microbiology,1273,CO
FCE,Denver,NAT,Endowment,9981,2010,Biochemistry and Molecular Biology/Biotechnology,1357,CO
FCE,Denver,SOC,Endowment,4942.5,2010,Economics,1369,CO
FCE,Denver,SOC,Endowment,4582.5,2010,Interdisciplinary Studies in Social Science - Social Science Education,1814,CO
HON,Denver,SOC,Campus_Resource,14196,2010,Public Policy,1748,CO
LIB,Denver,ART,Campus_Resource,13741.5,2010,Art History and Visual Culture,1634,CO
LIB,Denver,ART,Campus_Resource,1657.5,2010,Japanese,1194,CO
LIB,Denver,NAT,Campus_Resource,13941,2010,Physical Science Interdepartmental,1350,CO
MSF,Denver,ART,Scholarship,3633,2010,Arabic,1250,CO
MSF,Denver,SOC,Scholarship,4381.5,2010,Interdisciplinary Studies in Social Science - Social Science Education,1615,CO
MSM,Denver,ART,Campus_Resource,10528.5,2010,Japanese,1042,CO
MSM,Denver,EDU,Campus_Resource,4717.5,2010,Education,1094,CO
MSM,Denver,NAT,Campus_Resource,11287.5,2010,Human Biology,1095,CO
MSM,Denver,NUR,Campus_Resource,696,2010,Nursing,1187,CO
MUS,Denver,AGR,Scholarship,7785,2010,Animal Science,1337,CO
NAT,Denver,AGR,Scholarship,13698,2010,Natural Resource Recreation and Tourism,1078,CO
NAT,Denver,NAT,Scholarship,5088,2010,Biological Science Interdepartmental,1000,CO
NAT,Denver,SOC,Scholarship,10018.5,2010,Psychology,1344,CO
NAT,Denver,SOC,Scholarship,13669.5,2010,World Politics,1236,CO
NAT,Denver,SOC,Scholarship,11896.5,2010,Anthropology,1153,CO
NUR,Denver,MUS,Scholarship,5217,2010,Composition,1138,CO
PAR,Denver,ENG,Campus_Resource,5797.5,2010,Mechanical Engineering,1163,CO
RCR,Denver,NAT,Campus_Resource,3618,2010,Chemistry,1857,CO
TST,Denver,ART,Endowment,12055.5,2010,French,1455,CO
TST,Denver,ART,Endowment,225,2010,Russian,1080,CO
ISF,Des_Moines,NUR,Scholarship,7126,2010,Summer Research Program,1034,IA
LIB,Des_Moines,ENG,Campus_Resource,6856,2010,Engineering-No Major,1056,IA
AGR,Detroit,AGR,Scholarship,3403,2010,Horticulture,1162,MI
BIZ,Detroit,AGR,Scholarship,9990,2010,Food Science,1583,MI
FCE,Detroit,POL,Endowment,6862,2010,Social Relations and Policy,1007,MI
HON,Detroit,MUS,Campus_Resource,9739,2010,Composition,1021,MI
ISF,Detroit,ART,Scholarship,4537,2010,English,1374,MI
ISF,Detroit,MUS,Scholarship,816,2010,Jazz Studies,1636,MI
MSM,Detroit,POL,Campus_Resource,2226,2010,College of Political Science,1336,MI
NAT,Detroit,AGR,Scholarship,7597,2010,Packaging,1047,MI
NAT,Detroit,ART,Scholarship,2845,2010,Theatre,1768,MI
PAR,Detroit,NAT,Campus_Resource,3648,2010,Actuarial Science,1198,MI
RCR,Detroit,ENG,Campus_Resource,5175,2010,Materials Science and Engineering,1488,MI
TST,Detroit,NAT,Endowment,5002,2010,Geological Sciences,1486,MI
TST,Detroit,NUR,Endowment,9117,2010,Summer Research Program,1626,MI
ART,Durham,BIZ,Scholarship,3784,2010,Supply Chain Management,1067,NC
COM,Durham,NUR,Scholarship,6894,2010,Nursing,1469,NC
FCE,Durham,ART,Endowment,4469,2010,Apparel and Textile Design,1461,NC
FCE,Durham,ENG,Endowment,9522,2010,Materials Science and Engineering,1295,NC
NAT,Durham,BIZ,Scholarship,3135,2010,Human Resource Management,1239,NC
NAT,Durham,ENG,Scholarship,4239,2010,Computer Engineering,1803,NC
NUR,Durham,AGR,Scholarship,267,2010,Construction Management,1041,NC
TST,Durham,NAT,Endowment,8713,2010,Biomedical Laboratory Science,1370,NC
COM,El_Paso,MUS,Scholarship,6971,2010,Music Performance,1708,TX
MSM,El_Paso,NAT,Campus_Resource,4649,2010,Astrophysics,1301,TX
NAT,El_Paso,NAT,Scholarship,7315,2010,Physical Science Interdepartmental,1207,TX
ART,Eugene,COM,Scholarship,8290,2010,Journalism,1587,OR
MUS,Eugene,ART,Scholarship,9941,2010,Interdisciplinary Humanities,1460,OR
DIV,Fort_Lauderdale,AGR,Endowment,3896,2010,Packaging,1591,FL
RCR,Fort_Lauderdale,ART,Campus_Resource,3930,2010,Theatre,1431,FL
HON,Fresno,SOC,Campus_Resource,9185,2010,Political Science,1391,CA
TST,Fresno,NAT,Endowment,8268,2010,Geological Sciences,1376,CA
FCE,Grand_Rapids,POL,Endowment,5057,2010,College of Political Science,1051,MI
TST,Grand_Rapids,COM,Endowment,6248,2010,Media and Information,1157,MI
TST,Grand_Rapids,MUS,Endowment,5040,2010,Jazz Studies,1184,MI
AGR,Hartford,AGR,Scholarship,989,2010,Entomology,1260,CT
AGR,Hartford,NAT,Scholarship,2267,2010,Genomics & Molecular Genetics,1692,CT
ANN,Hartford,SOC,Endowment,243,2010,Criminal Justice,1139,CT
ART,Hartford,ENG,Scholarship,4034,2010,Computer Science,1082,CT
BIZ,Hartford,POL,Scholarship,8519,2010,Comparative Cultures and Politics,1073,CT
DIV,Hartford,AGR,Endowment,7129,2010,Agriculture and Natural Resources-No Preference,1079,CT
ENG,Hartford,POL,Scholarship,4286,2010,College of Political Science,1756,CT
FCE,Hartford,ART,Endowment,6074,2010,Chinese,1123,CT
MSF,Hartford,SOC,Scholarship,5555,2010,Political Science,1407,CT
NAT,Hartford,SOC,Scholarship,724,2010,Interdisciplinary Studies in Social Science,1676,CT
NUR,Hartford,ART,Scholarship,9908,2010,Interdisciplinary Humanities,1196,CT
TST,Hartford,ART,Endowment,7746,2010,Theatre,1166,CT
TST,Hartford,ART,Endowment,2919,2010,Professional Writing,1272,CT
TST,Hartford,ART,Endowment,3818,2010,Japanese,1062,CT
AGR,Henderson,AGR,Scholarship,1897,2010,Environmental Economics and Policy,1284,NV
ALM,Henderson,MUS,Campus_Resource,995,2010,Composition,1146,NV
ANN,Henderson,NAT,Endowment,8712,2010,Chemical Physics,1306,NV
MSM,Henderson,COM,Campus_Resource,373,2010,Media and Information,1011,NV
ALM,Houston,ART,Campus_Resource,5687,2010,Women's and Gender Studies,1246,TX
ANN,Houston,NAT,Endowment,9725,2010,Plant Biology,1185,TX
ATH,Houston,ENG,Campus_Resource,2705,2010,Environmental Engineering,1458,TX
COM,Houston,AGR,Scholarship,9585,2010,Agriculture and Natural Resources-No Preference,1063,TX
DIV,Houston,NAT,Endowment,3292,2010,Neuroscience,1087,TX
LIB,Houston,POL,Campus_Resource,1437,2010,Comparative Cultures and Politics,1106,TX
MSF,Houston,SOC,Scholarship,4359,2010,Interdisciplinary Studies in Social Science - Social Science Education,1398,TX
NAT,Houston,AGR,Scholarship,5981,2010,Fisheries and Wildlife,1113,TX
NAT,Houston,ART,Scholarship,892,2010,Humanities-Prelaw,1109,TX
PAR,Houston,BIZ,Campus_Resource,8196,2010,Hospitality Business,1293,TX
AGR,Indianapolis,SOC,Scholarship,3912,2010,Interdisciplinary Studies in Social Science,1093,IN
ALM,Indianapolis,NAT,Campus_Resource,428,2010,Statistics,1358,IN
ATH,Indianapolis,AGR,Campus_Resource,8987,2010,Environmental Studies and Agriscience,1048,IN
FCE,Indianapolis,ART,Endowment,3263,2010,Russian,1232,IN
MSF,Indianapolis,BIZ,Scholarship,8073,2010,Human Resource Management,1373,IN
MSF,Indianapolis,COM,Scholarship,5686,2010,Media and Information,1010,IN
NAT,Indianapolis,NAT,Scholarship,7938,2010,Actuarial Science,1451,IN
RCR,Indianapolis,AGR,Campus_Resource,6664,2010,Nutritional Sciences,1630,IN
ATH,Jacksonville,NAT,Campus_Resource,2245,2010,Environmental Geosciences,1149,FL
FCE,Jacksonville,SOC,Endowment,2128,2010,World Politics,1441,FL
AGR,Kansas_City,ENG,Scholarship,6526,2010,Biosystems Engineering,1463,MO
ALM,Kansas_City,SOC,Campus_Resource,8976,2010,Public Policy,1609,MO
ANN,Kansas_City,ENG,Endowment,2556,2010,Computer Science,1083,MO
ANN,Kansas_City,SOC,Endowment,368,2010,Anthropology,1101,KS
ART,Kansas_City,AGR,Scholarship,4973,2010,Packaging,1467,MO
ART,Kansas_City,SOC,Scholarship,6146,2010,Psychology,1780,MO
DIV,Kansas_City,ENG,Endowment,6301,2010,Biosystems Engineering,1029,MO
DIV,Kansas_City,SOC,Endowment,229,2010,Criminal Justice,1367,MO
FCE,Kansas_City,SOC,Endowment,2209,2010,Geographic Information Science,1013,MO
LIB,Kansas_City,SOC,Campus_Resource,1906,2010,Public Policy,1296,MO
MSM,Kansas_City,NAT,Campus_Resource,6217,2010,Plant Biology,1688,MO
MSM,Kansas_City,NAT,Campus_Resource,9329,2010,Biochemistry and Molecular Biology/Biotechnology,1427,MO
MUS,Kansas_City,AGR,Scholarship,4985,2010,Horticulture,1433,MO
MUS,Kansas_City,BIZ,Scholarship,8298,2010,Finance,1161,MO
NAT,Kansas_City,AGR,Scholarship,8197,2010,Food Science,1702,MO
PAR,Kansas_City,MUS,Campus_Resource,3045,2010,Composition,1065,MO
TST,Kansas_City,AGR,Endowment,4512,2010,Food Science,1285,MO
TST,Kansas_City,NAT,Endowment,8726,2010,Biological Science Interdepartmental,1698,MO
ALM,Knoxville,ENG,Campus_Resource,416,2010,Environmental Engineering,1372,TN
ENG,Knoxville,AGR,Scholarship,8955,2010,Entomology,1419,TN
ANN,Lansing,ART,Endowment,7590,2010,Studio Art,1694,MI
ANN,Lansing,NAT,Endowment,5634,2010,Statistics,1030,MI
DIV,Lansing,ART,Endowment,4356,2010,English,1114,MI
DIV,Lansing,NAT,Endowment,9628,2010,Plant Biology,1417,MI
DIV,Lansing,NAT,Endowment,8160,2010,Biomedical Laboratory Science,1638,MI
DIV,Lansing,SOC,Endowment,999,2010,History Education,1221,MI
HON,Lansing,ART,Campus_Resource,5384,2010,Professional Writing,1314,MI
ISF,Lansing,AGR,Scholarship,9364,2010,Interior Design,1706,MI
MSF,Lansing,NAT,Scholarship,2396,2010,Environmental Biology/Zoology,1269,MI
MSM,Lansing,BIZ,Campus_Resource,6361,2010,Accounting,1169,MI
NAT,Lansing,AGR,Scholarship,6451,2010,Fisheries and Wildlife,1028,MI
TST,Lansing,BIZ,Endowment,9319,2010,General Management,1388,MI
TST,Lansing,SOC,Endowment,4204,2010,Interdisciplinary Studies in Social Science,1492,MI
ART,Las_Vegas,ENG,Scholarship,6400,2010,Computer Science,1154,NV
LIB,Las_Vegas,AGR,Campus_Resource,8368,2010,Animal Science,1279,NV
HON,Lexington,ART,Campus_Resource,6656,2010,Japanese,1235,KY
LIB,Lexington,MUS,Campus_Resource,4605,2010,Music Performance,1299,KY
MSF,Lexington,NAT,Scholarship,5524,2010,Actuarial Science,1593,KY
PAR,Lexington,BIZ,Campus_Resource,2639,2010,Accounting,1231,KY
ANN,Lincoln,ENG,Endowment,8078,2010,Materials Science and Engineering,1211,NE
EDU,Lincoln,MUS,Scholarship,4813,2010,Jazz Studies,1341,NE
HON,Lincoln,NAT,Campus_Resource,2731,2010,Physical Science Interdepartmental,1241,NE
LIB,Lincoln,SOC,Campus_Resource,3885,2010,Human Development and Family Studies,1225,NE
MSF,Lincoln,ART,Scholarship,3240,2010,Spanish,1352,NE
MSM,Lincoln,AGR,Campus_Resource,8941,2010,Entomology,1140,NE
TST,Lincoln,SOC,Endowment,5840,2010,Sociology,1055,NE
ENG,Little_Rock,NAT,Scholarship,313,2010,Statistics,1037,AR
FCE,Little_Rock,NUR,Endowment,7610,2010,Summer Research Program,1145,AR
LIB,Little_Rock,EDU,Campus_Resource,1858,2010,Special Education-Learning Disabilities,1110,AR
TST,Little_Rock,BIZ,Endowment,3680,2010,Accounting,1298,AR
AGR,Los_Angeles,NUR,Scholarship,7261,2010,Summer Research Program,1311,CA
AGR,Los_Angeles,SOC,Scholarship,8898,2010,Political Science-Prelaw,1223,CA
ANN,Los_Angeles,AGR,Endowment,5575,2010,Interior Design,1377,CA
ANN,Los_Angeles,ART,Endowment,5619,2010,Art History and Visual Culture,1009,CA
ANN,Los_Angeles,NAT,Endowment,9012,2010,Microbiology,1266,CA
ANN,Los_Angeles,SOC,Endowment,2524,2010,Geographic Information Science,1043,CA
ART,Los_Angeles,ART,Scholarship,1198,2010,Art Education,1188,CA
ART,Los_Angeles,EDU,Scholarship,6757,2010,Education,1015,CA
ART,Los_Angeles,ENG,Scholarship,6760,2010,Mechanical Engineering,1280,CA
ATH,Los_Angeles,ART,Campus_Resource,1924,2010,English,1304,CA
ATH,Los_Angeles,NAT,Campus_Resource,8768,2010,Statistics,1429,CA
DIV,Los_Angeles,BIZ,Endowment,4958,2010,Marketing,1248,CA
DIV,Los_Angeles,NAT,Endowment,8869,2010,Biomedical Laboratory Science,1382,CA
DIV,Los_Angeles,SOC,Endowment,6957,2010,Psychology,1674,CA
FCE,Los_Angeles,AGR,Endowment,8682,2010,Environmental Economics and Policy,1406,CA
FCE,Los_Angeles,ART,Endowment,1115,2010,Theatre,1686,CA
FCE,Los_Angeles,ART,Endowment,8893,2010,Arabic,1175,CA
FCE,Los_Angeles,ENG,Endowment,9725,2010,Applied Engineering Sciences,1124,CA
FCE,Los_Angeles,NAT,Endowment,5375,2010,Environmental Geosciences,1328,CA
HON,Los_Angeles,NAT,Campus_Resource,9578,2010,Genomics & Molecular Genetics,1255,CA
LIB,Los_Angeles,NAT,Campus_Resource,2879,2010,Biochemistry and Molecular Biology/Biotechnology,1127,CA
LIB,Los_Angeles,SOC,Campus_Resource,6997,2010,Criminal Justice,1147,CA
MSF,Los_Angeles,BIZ,Scholarship,2952,2010,Accounting,1002,CA
MSM,Los_Angeles,AGR,Campus_Resource,3071,2010,Horticulture,1024,CA
MSM,Los_Angeles,MUS,Campus_Resource,1128,2010,Music,1076,CA
MSM,Los_Angeles,SOC,Campus_Resource,3804,2010,Economics,1182,CA
TST,Los_Angeles,ART,Endowment,3791,2010,Professional Writing,1278,CA
FCE,Louisville,NAT,Endowment,6116,2010,Preoptometry,1752,KY
PAR,Louisville,NAT,Campus_Resource,9667,2010,Preoptometry,1745,KY
RCR,Louisville,ART,Campus_Resource,5794,2010,Professional Writing,1195,KY
ANN,Madison,MUS,Endowment,9434,2010,Composition,1227,WI
ANN,Madison,NAT,Endowment,8426,2010,Environmental Biology/Plant Biol,1156,WI
DIV,Madison,SOC,Endowment,278,2010,Public Policy,1378,WI
FCE,Manchester,ART,Endowment,6405,2010,Philosophy,1334,NH
PAR,Manchester,NAT,Campus_Resource,8877,2010,Computational Mathematics,1014,NH
ALM,Memphis,POL,Campus_Resource,2192,2010,Social Relations and Policy,1447,TN
ART,Memphis,NAT,Scholarship,5494,2010,Statistics,1167,TN
COM,Memphis,BIZ,Scholarship,9783,2010,Supply Chain Management,1181,TN
FCE,Memphis,POL,Endowment,8665,2010,Social Relations and Policy,1589,TN
HON,Memphis,AGR,Campus_Resource,9410,2010,Environmental Economics and Policy,1847,TN
MUS,Memphis,NAT,Scholarship,5151,2010,Statistics,1772,TN
NAT,Memphis,ENG,Scholarship,9395,2010,Applied Engineering Sciences,1238,TN
NAT,Memphis,SOC,Scholarship,7391,2010,Public Policy,1179,TN
RCR,Memphis,ENG,Campus_Resource,3379,2010,Applied Engineering Sciences,1075,TN
TST,Memphis,NAT,Endowment,1433,2010,Astrophysics,1611,TN
TST,Memphis,SOC,Endowment,5845,2010,Human Development and Family Studies,1118,TN
COM,Mesa,NAT,Scholarship,2872,2010,Mathematics,1003,AZ
ANN,Miami,NAT,Endowment,5170,2010,Physical Science Interdepartmental,1435,FL
ANN,Miami,NAT,Endowment,1700,2010,Microbiology,1121,FL
ART,Miami,AGR,Scholarship,4014,2010,Animal Science,1263,FL
ENG,Miami,AGR,Scholarship,1864,2010,Construction Management,1220,FL
ENG,Miami,ART,Scholarship,6146,2010,Global Studies in the Arts and Humanities,1026,FL
HON,Miami,ENG,Campus_Resource,9717,2010,Computer Science,1190,FL
NAT,Miami,BIZ,Scholarship,7843,2010,Accounting,1237,FL
TST,Miami,AGR,Endowment,4487,2010,Interior Design,1471,FL
DIV,Milwaukee,SOC,Endowment,4017,2010,Anthropology,1290,WI
FCE,Milwaukee,POL,Endowment,5364,2010,College of Political Science,1294,WI
FCE,Minneapolis,ART,Endowment,4948,2010,Apparel and Textiles,1476,MN
FCE,Minneapolis,SOC,Endowment,9532,2010,Political Science,1217,MN
ANN,Mobile,NAT,Endowment,8436,2010,Biological Science Interdepartmental,1854,AL
