age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
33,management,married,tertiary,0,3696,0,0,cellular,19,nov,305,1,182,3,failure,0
32,technician,married,secondary,0,286,0,0,cellular,20,apr,60,1,343,4,failure,0
37,management,married,tertiary,0,539,0,0,cellular,18,jan,540,2,115,3,failure,0
70,retired,married,secondary,0,2815,0,0,cellular,26,apr,125,2,182,1,failure,0
59,blue-collar,married,primary,0,699,0,0,cellular,28,jan,98,1,154,6,failure,0
42,unemployed,divorced,secondary,0,759,0,0,cellular,28,jan,97,1,169,3,failure,0
53,retired,married,secondary,0,4968,0,0,cellular,6,may,109,1,87,2,failure,0
29,admin.,single,secondary,0,1992,0,0,cellular,8,jul,202,1,87,2,failure,0
70,retired,married,tertiary,0,15834,0,0,cellular,5,apr,172,3,186,1,failure,0
30,blue-collar,single,secondary,0,180,0,0,cellular,14,jul,203,1,183,2,failure,0
36,admin.,single,tertiary,0,980,0,0,cellular,11,nov,118,4,104,7,failure,0
69,retired,married,tertiary,0,473,0,0,cellular,7,jul,112,1,78,1,failure,0
38,self-employed,divorced,tertiary,0,1513,0,0,cellular,7,may,330,1,342,1,failure,0
49,unemployed,divorced,tertiary,0,780,0,0,cellular,8,nov,148,1,871,2,failure,0
30,management,married,tertiary,0,877,0,0,cellular,13,aug,202,1,83,5,failure,0
26,student,single,secondary,0,203,0,0,cellular,16,nov,104,1,196,1,failure,0
46,blue-collar,married,primary,0,665,0,0,cellular,30,jan,89,4,235,2,failure,0
50,admin.,divorced,secondary,0,769,0,0,cellular,28,jul,72,2,363,4,failure,0
56,entrepreneur,divorced,primary,0,29,0,0,cellular,29,jan,52,2,227,1,failure,0
49,unemployed,married,tertiary,0,377,0,0,cellular,22,may,158,1,59,2,failure,0
32,technician,married,secondary,0,4,0,0,cellular,4,feb,145,2,260,4,failure,0
36,blue-collar,single,primary,0,367,0,0,cellular,2,feb,217,1,221,1,failure,0
39,technician,married,secondary,0,994,0,0,cellular,5,feb,221,1,241,1,failure,0
37,management,married,primary,0,22856,0,0,cellular,2,jul,154,1,388,1,failure,0
32,management,single,tertiary,0,697,0,0,cellular,7,aug,119,1,99,3,failure,0
29,admin.,single,tertiary,0,14,0,0,cellular,29,sep,87,1,120,1,failure,0
36,blue-collar,single,tertiary,0,1830,0,0,cellular,14,oct,183,1,91,11,failure,0
52,admin.,married,secondary,0,0,0,0,cellular,22,apr,91,2,275,1,failure,0
56,retired,married,secondary,0,3948,0,0,cellular,3,apr,484,1,135,3,failure,0
75,blue-collar,married,secondary,0,6053,0,0,cellular,11,feb,865,2,190,1,failure,0
35,self-employed,married,tertiary,0,980,0,0,cellular,2,aug,428,2,336,6,failure,0
57,services,divorced,secondary,0,4664,0,0,cellular,21,nov,22,4,114,1,failure,0
45,admin.,married,unknown,0,2033,0,0,cellular,30,nov,123,1,186,4,failure,0
38,services,married,secondary,0,8876,0,0,cellular,2,feb,280,1,75,1,failure,0
39,admin.,married,secondary,0,-650,0,0,cellular,15,may,123,2,364,1,failure,0
34,housemaid,married,tertiary,0,0,0,0,cellular,26,may,141,1,188,1,failure,0
30,management,single,tertiary,0,2,0,0,cellular,16,jun,102,1,85,1,failure,0
33,student,single,unknown,0,5969,0,0,cellular,4,sep,156,2,127,8,failure,0
43,management,divorced,tertiary,0,497,0,0,cellular,13,may,66,1,363,22,failure,0
52,retired,married,secondary,0,424,0,0,cellular,19,nov,143,1,154,3,failure,0
41,management,divorced,tertiary,0,3355,0,0,cellular,14,oct,181,2,500,1,failure,0
36,management,divorced,tertiary,0,649,0,0,cellular,16,jul,237,2,91,1,failure,0
57,admin.,married,secondary,0,169,0,0,cellular,14,aug,180,1,106,2,failure,0
36,self-employed,married,tertiary,0,506,0,0,cellular,25,aug,47,1,120,1,failure,0
43,blue-collar,single,secondary,0,24,0,0,cellular,12,may,68,1,363,1,failure,0
71,unknown,married,tertiary,0,353,0,0,cellular,27,jan,208,1,93,2,failure,0
28,technician,single,secondary,0,1532,0,0,cellular,22,may,253,1,107,5,failure,0
70,retired,married,secondary,0,616,0,0,cellular,27,apr,149,2,182,1,failure,0
51,management,married,tertiary,0,1612,0,0,cellular,16,mar,384,1,182,5,failure,0
37,management,married,tertiary,0,0,0,0,cellular,11,mar,129,4,107,2,failure,0
33,technician,married,tertiary,0,8023,0,0,cellular,25,feb,196,1,87,4,failure,0
40,student,married,secondary,0,260,0,0,cellular,19,nov,52,1,152,6,failure,0
40,services,married,tertiary,0,35,0,0,cellular,3,jul,318,4,317,3,failure,0
31,technician,single,secondary,0,1626,0,0,cellular,7,may,356,2,286,3,failure,0
41,retired,single,primary,0,0,0,0,cellular,8,may,239,1,368,2,failure,0
65,retired,married,primary,0,493,0,0,cellular,16,oct,622,1,182,1,failure,0
45,management,married,tertiary,0,6945,0,0,cellular,5,aug,131,5,356,3,failure,0
28,management,single,tertiary,0,80,0,0,cellular,20,oct,676,2,146,2,failure,1
35,entrepreneur,married,secondary,0,2971,0,0,cellular,4,may,429,4,164,2,failure,1
54,admin.,married,secondary,0,0,0,0,cellular,28,jan,161,1,98,2,failure,1
27,student,single,tertiary,0,5291,0,0,cellular,12,nov,192,2,92,2,failure,1
38,admin.,married,tertiary,0,1988,0,0,cellular,27,mar,164,2,130,2,failure,1
59,technician,married,secondary,0,1,0,0,cellular,15,apr,159,2,378,3,failure,1
36,management,single,tertiary,0,490,0,0,cellular,28,aug,207,8,98,1,failure,1
31,management,single,tertiary,0,3283,0,0,cellular,2,feb,258,1,73,1,failure,1
22,student,single,primary,0,3472,0,0,cellular,20,oct,332,1,183,3,failure,1
33,services,married,secondary,0,386,0,0,cellular,12,nov,253,1,92,4,failure,1
24,student,single,secondary,0,822,0,0,cellular,27,oct,184,1,91,2,failure,1
42,unemployed,married,secondary,0,1289,0,0,cellular,15,jul,250,4,415,2,failure,1
73,retired,married,primary,0,796,0,0,cellular,23,oct,427,1,182,2,failure,1
50,unknown,married,unknown,0,558,0,0,cellular,9,jul,464,1,683,6,failure,1
32,technician,single,tertiary,0,1625,0,0,cellular,22,may,796,1,109,1,failure,1
31,management,single,tertiary,0,12569,0,0,cellular,9,sep,344,1,295,1,failure,1
38,entrepreneur,single,secondary,0,2543,0,0,cellular,10,aug,223,1,414,4,failure,1
64,retired,married,tertiary,0,846,0,0,cellular,11,feb,671,1,181,3,failure,1
25,management,single,tertiary,0,808,0,0,cellular,18,sep,267,2,114,2,failure,1
80,housemaid,married,primary,0,0,0,0,cellular,23,feb,639,1,189,1,failure,1
55,technician,divorced,secondary,0,3450,0,0,cellular,10,feb,169,1,183,1,failure,1
52,management,married,secondary,0,335,0,0,cellular,21,oct,411,1,182,1,failure,1
35,management,single,tertiary,0,1350,1,0,cellular,16,apr,185,1,330,1,failure,0
37,admin.,single,tertiary,0,2317,1,0,cellular,20,apr,114,1,152,2,failure,0
51,blue-collar,divorced,secondary,0,203,1,0,cellular,8,may,134,1,170,5,failure,0
40,unemployed,married,secondary,0,219,1,0,cellular,17,nov,204,2,196,1,failure,0
38,management,single,tertiary,0,493,1,0,cellular,11,may,553,1,367,7,failure,0
32,management,single,tertiary,0,574,1,0,cellular,14,apr,259,2,145,3,failure,0
48,admin.,married,unknown,0,0,1,0,cellular,8,may,85,1,168,2,failure,0
55,technician,married,secondary,0,273,1,0,cellular,29,jan,84,3,183,3,failure,0
37,admin.,married,secondary,0,176,1,0,cellular,5,may,147,2,347,1,failure,0
37,admin.,married,tertiary,0,0,1,0,cellular,17,nov,65,2,119,1,failure,0
36,technician,married,secondary,0,23,1,0,cellular,8,may,152,2,347,1,failure,0
39,management,divorced,tertiary,0,1315,1,0,cellular,19,nov,1337,4,126,1,failure,0
29,technician,married,secondary,0,1599,1,0,cellular,8,jul,115,1,61,1,failure,0
38,services,single,secondary,0,-196,1,0,cellular,2,feb,60,1,271,1,failure,0
30,blue-collar,married,secondary,0,975,1,0,cellular,13,may,256,2,351,2,failure,0
44,technician,single,secondary,0,33,1,0,cellular,13,may,195,3,351,10,failure,0
58,retired,married,primary,0,3401,1,0,cellular,3,feb,84,3,265,2,failure,0
40,services,married,secondary,0,0,1,0,cellular,2,jun,297,1,28,3,failure,0
33,management,single,tertiary,0,1410,1,0,cellular,5,feb,8,1,254,5,failure,0
47,self-employed,married,tertiary,0,2303,1,0,cellular,6,may,323,2,364,1,failure,0
29,management,married,tertiary,0,318,1,0,cellular,18,may,1434,2,356,4,failure,0
32,management,single,tertiary,0,8436,1,0,cellular,17,apr,245,1,149,2,failure,0
42,admin.,married,secondary,0,-396,1,0,cellular,11,may,80,1,308,4,failure,0
30,services,single,secondary,0,0,1,0,cellular,18,may,131,6,363,9,failure,0
39,blue-collar,married,secondary,0,0,1,0,cellular,30,apr,53,1,325,1,failure,0
33,blue-collar,married,secondary,0,43,1,0,cellular,14,may,332,2,358,2,failure,0
37,management,married,tertiary,0,502,1,0,cellular,7,may,551,1,351,1,failure,0
37,management,single,tertiary,0,876,1,0,cellular,15,apr,140,4,327,2,failure,0
40,technician,married,secondary,0,694,1,0,cellular,4,feb,97,4,196,5,failure,0
50,housemaid,married,secondary,0,7317,1,0,cellular,13,may,172,1,370,1,failure,0
43,admin.,divorced,secondary,0,738,1,0,cellular,21,nov,585,4,191,4,failure,0
43,services,married,primary,0,2567,1,0,cellular,14,may,109,1,360,2,failure,0
50,technician,married,secondary,0,2497,1,0,cellular,21,nov,35,1,176,1,failure,0
53,management,married,tertiary,0,1319,1,0,cellular,16,apr,427,1,150,1,failure,0
47,housemaid,married,primary,0,201,1,0,cellular,7,aug,58,2,382,1,failure,0
60,retired,divorced,unknown,0,-49,1,0,cellular,29,jan,188,1,261,2,failure,0
39,technician,married,tertiary,0,1161,1,0,cellular,9,apr,236,1,336,1,failure,0
33,housemaid,single,tertiary,0,23663,1,0,cellular,16,apr,199,2,146,2,failure,0
44,technician,married,secondary,0,310,1,0,cellular,6,feb,200,1,253,1,failure,0
32,entrepreneur,married,unknown,0,73,1,0,cellular,21,nov,158,1,135,1,failure,0
46,services,married,secondary,0,1550,1,0,cellular,16,apr,126,2,149,8,failure,0
40,blue-collar,married,secondary,0,498,1,0,cellular,8,may,55,2,298,4,failure,0
36,technician,single,secondary,0,1855,1,0,cellular,4,feb,75,1,273,1,failure,0
28,services,married,secondary,0,0,1,0,cellular,5,may,335,2,281,8,failure,0
52,management,married,tertiary,0,1944,1,0,cellular,15,apr,238,3,323,2,failure,0
30,blue-collar,single,secondary,0,445,1,0,cellular,16,apr,218,1,330,2,failure,0
40,management,married,secondary,0,643,1,0,cellular,17,apr,74,2,256,1,failure,0
40,management,married,tertiary,0,-1212,1,0,cellular,15,may,1259,2,333,18,failure,0
31,management,single,tertiary,0,112,1,0,cellular,2,feb,159,2,271,1,failure,0
49,management,single,secondary,0,61,1,0,cellular,29,jan,185,2,246,1,failure,0
30,technician,single,tertiary,0,3,1,0,cellular,6,may,45,2,169,2,failure,0
34,admin.,married,tertiary,0,35,1,0,cellular,15,oct,76,1,69,2,failure,0
38,admin.,married,primary,0,3913,1,0,cellular,20,apr,196,2,315,2,failure,0
36,management,married,tertiary,0,222,1,0,cellular,6,may,317,1,169,2,failure,0
37,technician,single,secondary,0,5436,1,0,cellular,6,may,7,11,351,1,failure,0
30,management,single,tertiary,0,726,1,0,cellular,16,apr,39,1,342,3,failure,0
37,blue-collar,single,primary,0,851,1,0,cellular,15,may,151,1,352,1,failure,0
35,technician,married,secondary,0,2789,1,0,cellular,4,sep,256,2,94,1,failure,0
42,technician,single,tertiary,0,-411,1,0,cellular,12,may,78,5,292,3,failure,0
36,management,single,tertiary,0,243,1,0,cellular,7,may,160,2,360,3,failure,0
31,management,single,tertiary,0,62,1,0,cellular,18,may,175,1,293,5,failure,0
50,management,married,tertiary,0,-470,1,0,cellular,8,may,506,2,170,3,failure,0
33,blue-collar,single,secondary,0,706,1,0,cellular,7,apr,329,1,322,1,failure,0
36,management,married,secondary,0,1825,1,0,cellular,14,may,24,1,346,1,failure,0
60,admin.,divorced,secondary,0,174,1,0,cellular,15,may,241,1,364,1,failure,0
51,blue-collar,married,secondary,0,160,1,0,cellular,7,may,136,1,359,1,failure,0
27,services,married,secondary,0,54,1,0,cellular,18,may,97,1,370,1,failure,0
35,blue-collar,married,primary,0,298,1,0,cellular,13,may,135,2,370,2,failure,0
32,management,married,tertiary,0,913,1,0,cellular,23,jun,883,1,674,4,failure,0
31,management,married,secondary,0,625,1,0,cellular,7,apr,424,1,138,1,failure,0
51,services,married,secondary,0,867,1,0,cellular,3,feb,177,2,211,3,failure,0
46,blue-collar,married,primary,0,91,1,0,cellular,6,may,29,1,356,2,failure,0
41,entrepreneur,married,tertiary,0,171,1,0,cellular,19,nov,209,1,191,4,failure,0
40,management,divorced,tertiary,0,69,1,0,cellular,6,may,503,2,280,2,failure,0
34,admin.,married,secondary,0,1499,1,0,cellular,13,apr,186,1,327,2,failure,0
24,admin.,married,secondary,0,299,1,0,cellular,6,may,209,1,321,1,failure,0
50,services,married,secondary,0,254,1,0,cellular,15,apr,397,2,337,1,failure,0
25,management,single,tertiary,0,553,1,0,cellular,17,sep,113,4,479,1,failure,0
57,technician,divorced,primary,0,13,1,0,cellular,8,may,323,2,368,2,failure,0
38,management,married,tertiary,0,0,1,0,cellular,13,may,537,5,303,2,failure,0
35,technician,single,tertiary,0,7546,1,0,cellular,28,dec,137,1,122,3,failure,0
39,blue-collar,married,secondary,0,0,1,0,cellular,7,may,502,1,7,2,failure,0
45,technician,married,secondary,0,1415,1,0,cellular,17,nov,483,1,116,1,failure,0
38,blue-collar,married,secondary,0,1663,1,0,cellular,13,apr,217,3,327,1,failure,0
37,services,married,secondary,0,4760,1,0,cellular,8,may,182,2,169,2,failure,0
43,self-employed,married,secondary,0,634,1,0,cellular,17,nov,65,1,131,1,failure,0
32,services,single,unknown,0,6145,1,0,cellular,14,may,362,1,287,13,failure,0
36,services,married,secondary,0,1746,1,0,cellular,7,apr,15,1,316,1,failure,0
33,blue-collar,married,secondary,0,687,1,0,cellular,14,may,72,2,370,1,failure,0
36,admin.,divorced,secondary,0,356,1,0,cellular,7,apr,244,3,313,1,failure,0
32,management,married,tertiary,0,4761,1,0,cellular,5,may,159,2,350,2,failure,0
40,admin.,married,secondary,0,168,1,0,cellular,7,may,249,2,169,1,failure,0
40,unemployed,divorced,secondary,0,507,1,0,cellular,2,feb,134,1,266,7,failure,0
37,services,single,secondary,0,1175,1,0,cellular,15,may,102,1,333,2,failure,0
28,blue-collar,married,secondary,0,373,1,0,cellular,14,may,10,9,344,1,failure,0
50,management,married,tertiary,0,4374,1,0,cellular,21,nov,163,2,113,3,failure,0
36,services,single,secondary,0,774,1,0,cellular,3,feb,231,2,259,1,failure,0
38,blue-collar,married,primary,0,2240,1,0,cellular,19,nov,551,1,183,1,failure,0
34,services,divorced,secondary,0,991,1,0,cellular,6,may,89,1,344,1,failure,0
34,technician,single,secondary,0,440,1,0,cellular,6,may,445,2,345,2,failure,0
39,technician,married,secondary,0,-735,1,0,cellular,30,jan,144,5,248,2,failure,0
54,retired,married,secondary,0,1139,1,0,cellular,14,may,155,1,177,7,failure,0
46,entrepreneur,single,tertiary,0,1410,1,0,cellular,19,nov,93,1,189,8,failure,0
35,technician,married,secondary,0,-259,1,0,cellular,29,jan,381,1,247,2,failure,0
34,technician,single,secondary,0,105,1,0,cellular,7,may,146,2,171,3,failure,0
28,blue-collar,married,primary,0,60,1,0,cellular,6,may,161,1,337,1,failure,0
32,admin.,single,tertiary,0,1583,1,0,cellular,19,nov,100,1,182,1,failure,0
51,unemployed,married,secondary,0,-13,1,0,cellular,13,may,361,1,364,1,failure,0
31,blue-collar,single,secondary,0,609,1,0,cellular,14,apr,1126,1,335,1,failure,0
51,blue-collar,married,primary,0,42,1,0,cellular,12,may,51,2,342,3,failure,0
52,blue-collar,married,primary,0,230,1,0,cellular,6,may,198,2,170,2,failure,0
29,blue-collar,married,unknown,0,486,1,0,cellular,6,may,422,1,363,1,failure,0
38,management,single,tertiary,0,35,1,0,cellular,17,apr,156,1,273,3,failure,0
41,technician,divorced,secondary,0,348,1,0,cellular,7,may,225,2,275,2,failure,0
51,blue-collar,divorced,primary,0,602,1,0,cellular,11,may,347,1,284,2,failure,0
32,blue-collar,single,secondary,0,33,1,0,cellular,18,may,125,1,368,4,failure,0
40,services,married,secondary,0,1438,1,0,cellular,6,may,207,1,351,2,failure,0
54,management,divorced,tertiary,0,26306,1,0,cellular,11,feb,27,1,84,3,failure,0
36,management,single,tertiary,0,1531,1,0,cellular,8,may,81,3,170,1,failure,0
58,retired,married,secondary,0,502,1,0,cellular,12,may,197,2,370,3,failure,0
34,management,single,tertiary,0,171,1,0,cellular,7,may,191,1,294,1,failure,0
28,technician,single,secondary,0,769,1,0,cellular,15,may,153,1,371,2,failure,0
36,technician,married,tertiary,0,6,1,0,cellular,27,jan,100,1,435,1,failure,0
53,admin.,married,secondary,0,225,1,0,cellular,20,apr,304,1,340,1,failure,0
33,admin.,single,tertiary,0,490,1,0,cellular,7,may,31,1,363,2,failure,0
36,services,single,secondary,0,417,1,0,cellular,6,feb,15,10,207,3,failure,0
42,blue-collar,divorced,secondary,0,1491,1,0,cellular,6,may,203,2,334,2,failure,0
30,blue-collar,married,secondary,0,-28,1,0,cellular,18,may,284,2,371,1,failure,0
26,blue-collar,single,primary,0,155,1,0,cellular,29,jan,291,1,244,4,failure,0
32,management,married,tertiary,0,1667,1,0,cellular,18,nov,164,2,179,3,failure,0
35,blue-collar,married,secondary,0,1257,1,0,cellular,20,apr,93,3,329,7,failure,0
44,blue-collar,married,secondary,0,1071,1,0,cellular,11,may,143,3,357,1,failure,0
55,admin.,married,secondary,0,865,1,0,cellular,17,apr,85,1,151,1,failure,0
36,admin.,married,secondary,0,725,1,0,cellular,27,feb,123,3,99,8,failure,0
45,blue-collar,married,secondary,0,776,1,0,cellular,6,feb,232,4,253,1,failure,0
27,admin.,single,tertiary,0,3672,1,0,cellular,15,may,157,2,351,5,failure,0
59,admin.,married,secondary,0,92,1,0,cellular,12,may,139,2,350,1,failure,0
35,self-employed,married,tertiary,0,560,1,0,cellular,2,apr,58,1,136,1,failure,0
45,technician,divorced,secondary,0,809,1,0,cellular,13,may,155,2,363,4,failure,0
60,admin.,married,secondary,0,-396,1,0,cellular,11,may,443,1,350,1,failure,0
34,management,married,tertiary,0,1657,1,0,cellular,18,may,566,2,356,4,failure,0
34,blue-collar,married,secondary,0,1221,1,0,cellular,6,may,182,1,90,8,failure,0
42,blue-collar,married,secondary,0,2157,1,0,cellular,13,may,149,1,364,2,failure,0
47,blue-collar,married,primary,0,881,1,0,cellular,14,may,143,1,370,2,failure,0
23,blue-collar,single,primary,0,8627,1,0,cellular,15,may,169,1,346,1,failure,0
37,blue-collar,married,primary,0,655,1,0,cellular,5,feb,127,2,258,4,failure,0
39,admin.,married,secondary,0,260,1,0,cellular,17,apr,146,1,281,1,failure,0
41,services,married,unknown,0,88,1,0,cellular,11,may,105,1,336,2,failure,0
46,blue-collar,married,primary,0,147,1,0,cellular,6,may,116,2,169,3,failure,0
36,technician,married,secondary,0,55,1,0,cellular,13,may,38,2,369,4,failure,0
32,blue-collar,married,secondary,0,1787,1,0,cellular,12,may,87,4,357,4,failure,0
46,blue-collar,married,secondary,0,4855,1,0,cellular,10,aug,1529,1,397,1,failure,0
37,blue-collar,married,secondary,0,346,1,0,cellular,17,apr,390,1,316,1,failure,0
56,blue-collar,married,primary,0,828,1,0,cellular,14,may,214,1,349,1,failure,0
44,blue-collar,married,secondary,0,508,1,0,cellular,20,apr,222,1,154,1,failure,0
37,blue-collar,married,secondary,0,342,1,0,cellular,12,may,340,2,175,1,failure,0
32,admin.,single,secondary,0,92,1,0,cellular,18,may,110,1,315,2,failure,0
38,technician,married,secondary,0,4030,1,0,cellular,19,nov,75,2,177,5,failure,0
34,technician,single,secondary,0,347,1,0,cellular,6,feb,154,2,197,6,failure,0
46,management,married,tertiary,0,523,1,0,cellular,6,may,105,4,366,2,failure,0
39,self-employed,married,tertiary,0,585,1,0,cellular,18,nov,48,1,181,3,failure,0
53,self-employed,married,tertiary,0,451,1,0,cellular,2,feb,125,1,249,2,failure,0
45,technician,divorced,secondary,0,976,1,0,cellular,17,apr,183,1,338,2,failure,0
35,admin.,married,secondary,0,725,1,0,cellular,20,nov,219,7,133,1,failure,0
29,admin.,married,secondary,0,22171,1,0,cellular,18,may,44,1,355,3,failure,0
32,blue-collar,single,secondary,0,53,1,0,cellular,18,nov,276,1,195,1,failure,0
35,management,married,tertiary,0,24,1,0,cellular,8,apr,169,1,231,2,failure,0
32,technician,divorced,secondary,0,202,1,0,cellular,4,feb,429,1,201,1,failure,0
38,management,single,tertiary,0,427,1,0,cellular,6,may,17,3,169,2,failure,0
31,management,married,tertiary,0,22546,1,0,cellular,14,may,8,6,267,4,failure,0
29,blue-collar,married,secondary,0,228,1,0,cellular,11,may,12,8,342,9,failure,0
55,admin.,married,secondary,0,865,1,0,cellular,27,oct,96,1,111,3,failure,0
31,admin.,married,secondary,0,389,1,0,cellular,7,dec,69,1,185,2,failure,0
34,entrepreneur,married,secondary,0,1847,1,0,cellular,9,apr,543,3,321,6,failure,0
49,unemployed,married,tertiary,0,-471,1,0,cellular,20,nov,77,3,185,7,failure,0
56,admin.,divorced,unknown,0,789,1,0,cellular,8,may,1022,1,360,2,failure,0
37,blue-collar,married,unknown,0,897,1,0,cellular,13,apr,119,2,280,2,failure,0
41,blue-collar,married,primary,0,7735,1,0,cellular,20,nov,220,1,190,1,failure,0
29,management,single,tertiary,0,21,1,0,cellular,14,may,107,4,371,3,failure,0
46,blue-collar,married,primary,0,1291,1,0,cellular,14,may,142,3,259,17,failure,0
40,unemployed,married,secondary,0,0,1,0,cellular,19,nov,332,1,183,1,failure,0
39,self-employed,married,secondary,0,31,1,0,cellular,20,nov,61,2,181,4,failure,0
32,management,single,tertiary,0,347,1,0,cellular,18,may,213,1,264,6,failure,0
47,admin.,single,secondary,0,1544,1,0,cellular,6,apr,104,1,312,1,failure,0
39,technician,married,secondary,0,6,1,0,cellular,18,may,122,3,357,4,failure,0
50,self-employed,married,tertiary,0,202,1,0,cellular,15,apr,107,1,148,4,failure,0
27,student,single,secondary,0,268,1,0,cellular,13,may,528,1,358,2,failure,0
26,services,single,secondary,0,5533,1,0,cellular,7,may,582,2,283,4,failure,0
42,admin.,single,secondary,0,30,1,0,cellular,4,feb,98,1,266,3,failure,0
39,management,single,tertiary,0,0,1,0,cellular,12,may,561,4,369,3,failure,0
29,technician,married,tertiary,0,858,1,0,cellular,12,jun,234,7,330,1,failure,0
57,admin.,divorced,primary,0,179,1,0,cellular,15,may,67,1,368,2,failure,0
42,blue-collar,married,primary,0,-97,1,0,cellular,3,feb,216,4,271,5,failure,0
37,housemaid,divorced,secondary,0,1040,1,0,cellular,13,may,199,1,173,2,failure,0
50,management,married,tertiary,0,-470,1,0,cellular,19,nov,130,2,160,1,failure,0
42,services,married,secondary,0,96,1,0,cellular,5,may,238,3,340,2,failure,0
43,unemployed,single,unknown,0,3274,1,0,cellular,22,may,680,1,95,1,failure,0
31,management,married,tertiary,0,623,1,0,cellular,13,may,96,2,349,5,failure,0
32,admin.,married,secondary,0,3540,1,0,cellular,18,may,213,1,178,1,failure,0
31,blue-collar,married,unknown,0,-120,1,0,cellular,3,feb,100,3,201,2,failure,0
34,management,single,tertiary,0,8038,1,0,cellular,20,apr,29,3,152,1,failure,0
36,self-employed,married,secondary,0,189,1,0,cellular,19,nov,136,1,120,1,failure,0
26,management,single,tertiary,0,1274,1,0,cellular,1,jun,190,1,84,1,failure,0
48,blue-collar,married,secondary,0,1143,1,0,cellular,17,apr,264,1,317,1,failure,0
57,retired,married,primary,0,-464,1,0,cellular,4,feb,75,1,190,6,failure,0
50,technician,single,secondary,0,246,1,0,cellular,17,nov,270,1,123,2,failure,0
44,blue-collar,married,primary,0,887,1,0,cellular,12,may,165,2,363,1,failure,0
43,blue-collar,married,primary,0,188,1,0,cellular,12,may,58,3,347,5,failure,0
44,management,married,tertiary,0,724,1,0,cellular,17,nov,157,2,172,1,failure,0
53,admin.,divorced,secondary,0,26,1,0,cellular,7,may,56,1,359,1,failure,0
55,blue-collar,married,primary,0,1086,1,0,cellular,6,may,146,1,272,2,failure,0
38,blue-collar,divorced,secondary,0,0,1,0,cellular,11,may,580,1,173,1,failure,0
40,technician,married,secondary,0,4441,1,0,cellular,20,nov,153,2,183,2,failure,0
30,technician,single,tertiary,0,1185,1,0,cellular,30,apr,284,1,339,1,failure,0
32,blue-collar,married,secondary,0,2,1,0,cellular,15,may,16,9,309,1,failure,0
40,services,married,secondary,0,9374,1,0,cellular,21,nov,7,8,185,1,failure,0
31,services,single,secondary,0,481,1,0,cellular,20,nov,106,2,183,2,failure,0
53,blue-collar,married,primary,0,53,1,0,cellular,7,apr,208,1,140,1,failure,0
40,blue-collar,married,primary,0,2805,1,0,cellular,14,may,173,6,353,23,failure,0
34,management,married,tertiary,0,436,1,0,cellular,17,apr,28,1,345,1,failure,0
33,services,single,secondary,0,358,1,0,cellular,7,may,302,1,356,3,failure,0
